COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_PATHOGEN	p_COMMENSAL	N_PATHOGEN	N_COMMENSAL
Predicted GTPase	0.1366378959432365	0.7116465434016402	1	PATHOGEN	COG3596	GC_00000487, GC_00003601, GC_00004360, GC_00005380, GC_00006851, GC_00008622, GC_00009632	0.9259	0.8947	27	19
Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family	0.12026981337103373	0.7287420392619057	1	PATHOGEN	COG3387	GC_00003644	0.6296	0.5789	27	19
DNA-binding transcriptional regulator PaaX (phenylacetic acid degradation)	0.12026981337103365	0.7287420392619058	1	COMMENSAL	COG3327	GC_00004559, GC_00008353	0.3704	0.4211	27	19
Predicted transposase YbfD/YdcC associated with H repeats	0.10271152633524358	0.7485996457561201	1	PATHOGEN	COG5433	GC_00000011, GC_00004204, GC_00004288, GC_00006090, GC_00008878	0.7778	0.7368	27	19
Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family	0.08966861598440548	0.7645988651689077	1	PATHOGEN	COG1975	GC_00004104	0.5185	0.4737	27	19
Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain	0.08966861598440548	0.7645988651689077	1	PATHOGEN	COG4625	GC_00005819, GC_00006177, GC_00006216, GC_00006345, GC_00007576, GC_00009524	0.5185	0.4737	27	19
DNA mismatch repair ATPase MutL!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG0323!!!COG4191	GC_00007518	0.0741	0.0526	27	19
Predicted P-loop ATPase and inactivated derivatives	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG5545	GC_00007584	0.0741	0.0526	27	19
Predicted metal-dependent hydrolase, TIM-barrel fold	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG2159	GC_00008513, GC_00010097, GC_00011527	0.0741	0.0526	27	19
RecB family exonuclease	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG2887	GC_00007536	0.0741	0.0526	27	19
Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...!!!Chromosome segregation ATPase	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG0610!!!COG1196	GC_00007348	0.0741	0.0526	27	19
Conjugal transfer/entry exclusion protein	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG5314	GC_00009876, GC_00010206, GC_00010791	0.0741	0.0526	27	19
Signal transduction histidine kinase regulating phosphoglycerate transport system	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG4192	GC_00007494	0.0741	0.0526	27	19
Nucleoside-diphosphate-sugar epimerase!!!dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG0451!!!COG1898	GC_00008453, GC_00010897	0.0741	0.0526	27	19
3'-5' exoribonuclease YhaM, can participate in 23S rRNA maturation,  HD superfamily	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG3481	GC_00007875, GC_00010582	0.0741	0.0526	27	19
Transketolase, N-terminal subunit	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG3959	GC_00007113	0.0741	0.0526	27	19
Transketolase, C-terminal subunit	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG3958	GC_00007369	0.0741	0.0526	27	19
Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain!!!Transcriptional regulatory protein LevR, contains PRD, AAA+ and EIIA domains	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG1221!!!COG3933	GC_00007450	0.0741	0.0526	27	19
Predicted periplasmic lipoprotein	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG5618	GC_00007445	0.0741	0.0526	27	19
Mu-like prophage FluMu protein gp41	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG4518	GC_00008558, GC_00010119	0.0741	0.0526	27	19
Type IV secretory pathway, VirB4 component!!!Type IV secretory pathway, VirB3 components	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG3451!!!COG3702	GC_00008565, GC_00008597	0.0741	0.0526	27	19
NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG1086	GC_00007653, GC_00010827	0.0741	0.0526	27	19
DNA polymerase I - 3'-5' exonuclease and polymerase domains	0.08410777707304404	0.7718059797774112	1	PATHOGEN	COG0749	GC_00007044	0.0741	0.0526	27	19
Type VI protein secretion system component Hcp (secreted cytotoxin)	0.08410777707304354	0.7718059797774117	1	COMMENSAL	COG3157	GC_00003704, GC_00004200, GC_00004538, GC_00004608, GC_00004666, GC_00004886, GC_00005298, GC_00005337, GC_00006029, GC_00007248	0.9259	0.9474	27	19
Predicted dithiol-disulfide isomerase, DsbA family	0.07116556885062209	0.7896472122800594	1	PATHOGEN	COG2761	GC_00004375	0.4074	0.3684	27	19
ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA	0.07116556885062209	0.7896472122800594	1	PATHOGEN	COG0803	GC_00004263, GC_00010307	0.4074	0.3684	27	19
Chloramphenicol O-acetyltransferase	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG4845	GC_00008988, GC_00011869	0.037	0.0526	27	19
Predicted ferric reductase	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG4097	GC_00008229	0.037	0.0526	27	19
Intein/homing endonuclease!!!Uncharacterized conserved protein RhaS, contains 28 RHS repeats	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG1372!!!COG3209	GC_00007465	0.037	0.0526	27	19
Glycosyltransferase involved in cell wall bisynthesis!!!Tetratricopeptide (TPR) repeat!!!CDP-glycerol glycerophosphotransferase, TagB/SpsB family	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG0438!!!COG0457!!!COG1887	GC_00007740	0.037	0.0526	27	19
DNA helicase IV!!!Predicted NTPase, NACHT family domain	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG3973!!!COG5635	GC_00008366	0.037	0.0526	27	19
Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains!!!DNA-binding transcriptional regulator, XRE family	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG2932!!!COG3655	GC_00008515	0.037	0.0526	27	19
tRNA nucleotidyltransferase (CCA-adding enzyme)	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG1746	GC_00007761	0.037	0.0526	27	19
Sugar-specific transcriptional regulator TrmB	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG1378	GC_00007902	0.037	0.0526	27	19
Urea transporter	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG4413	GC_00008673	0.037	0.0526	27	19
Tetratricopeptide (TPR) repeat!!!Serine/threonine protein kinase	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG0457!!!COG0515	GC_00007796	0.037	0.0526	27	19
Glycosyltransferase involved in cell wall bisynthesis!!!Predicted hydrolase, HAD superfamily	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG0438!!!COG5610	GC_00007920	0.037	0.0526	27	19
Predicted hydrolase, HAD superfamily	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG5610	GC_00009751, GC_00011512	0.037	0.0526	27	19
Phosphorylcholine metabolism protein LicD	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG3475	GC_00008383	0.037	0.0526	27	19
Lysyl-tRNA synthetase, class I	0.06521367814986592	0.7984375793745037	1	COMMENSAL	COG1384	GC_00008539	0.037	0.0526	27	19
Type II secretory pathway, component PulC	0.06521367814986585	0.7984375793745038	1	PATHOGEN	COG3031	GC_00003684, GC_00003980, GC_00006304, GC_00008079	0.963	0.9474	27	19
Uncharacterized conserved protein YbcV, DUF1398 family	0.06521367814986585	0.7984375793745038	1	PATHOGEN	COG5562	GC_00003563, GC_00003961, GC_00005586	0.963	0.9474	27	19
Site-specific DNA recombinase related to the DNA invertase Pin	0.06521367814986585	0.7984375793745038	1	PATHOGEN	COG1961	GC_00003616, GC_00003883, GC_00004027, GC_00004836, GC_00005224, GC_00005966, GC_00006436, GC_00006937, GC_00007230, GC_00007517, GC_00007649, GC_00008144, GC_00008302, GC_00008517, GC_00008637, GC_00008949, GC_00008979, GC_00008981, GC_00009439, GC_00009565, GC_00009776, GC_00009966, GC_00010919, GC_00010987, GC_00011222, GC_00011791, GC_00011830	0.963	0.9474	27	19
N-acetylneuraminic acid mutarotase	0.06521367814986585	0.7984375793745038	1	PATHOGEN	COG3055	GC_00003334, GC_00006103, GC_00006144, GC_00009675, GC_00011862	0.963	0.9474	27	19
Type II secretory pathway, component PulK	0.06521367814986585	0.7984375793745038	1	PATHOGEN	COG3156	GC_00003719, GC_00004035, GC_00005778	0.963	0.9474	27	19
Mannose-6-phosphate isomerase, cupin superfamily!!!Mannose-1-phosphate guanylyltransferase	0.06521367814986585	0.7984375793745038	1	PATHOGEN	COG0662!!!COG0836	GC_00003330, GC_00006254, GC_00006379, GC_00006458, GC_00007102, GC_00008727, GC_00009933, GC_00010939	0.963	0.9474	27	19
Type II secretory pathway, component PulL	0.06521367814986585	0.7984375793745038	1	PATHOGEN	COG3297	GC_00003586, GC_00004053, GC_00005767	0.963	0.9474	27	19
Transposase InsO and inactivated derivatives!!!Transposase	0.06052631811523339	0.8056659989024502	1	COMMENSAL	COG2801!!!COG3415	GC_00005945, GC_00006323, GC_00006904, GC_00009363, GC_00012158	0.3333	0.3684	27	19
Arginine deiminase	0.060406141186246085	0.8058551656095381	1	PATHOGEN	COG2235	GC_00004788	0.2963	0.2632	27	19
2-keto-4-pentenoate hydratase	0.060406141186245876	0.8058551656095384	1	COMMENSAL	COG3971	GC_00003683, GC_00004883	0.7037	0.7368	27	19
Acetaldehyde dehydrogenase (acetylating)	0.060406141186245876	0.8058551656095384	1	COMMENSAL	COG4569	GC_00003670	0.7037	0.7368	27	19
DNA-binding transcriptional regulator LsrR, DeoR family!!!Transposase	0.05781286694460729	0.8099867970717236	1	PATHOGEN	COG2390!!!COG4584	GC_00004516	0.1852	0.1579	27	19
Non-ribosomal peptide synthetase component F	0.05781286694460729	0.8099867970717236	1	PATHOGEN	COG1020	GC_00005333, GC_00005462, GC_00005480	0.1852	0.1579	27	19
Transposase InsO and inactivated derivatives!!!Transposase and inactivated derivatives	0.05781286694460729	0.8099867970717236	1	PATHOGEN	COG2801!!!COG2963	GC_00006390, GC_00006978, GC_00008485, GC_00009171	0.1852	0.1579	27	19
NADPH:quinone reductase or related Zn-dependent oxidoreductase!!!Non-ribosomal peptide synthetase component F!!!NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family!!!Acyl transferase domain in polyketide synthase (PKS) enzymes	0.05781286694460729	0.8099867970717236	1	PATHOGEN	COG0604!!!COG1020!!!COG1028!!!COG3321	GC_00005329	0.1852	0.1579	27	19
Predicted P-loop ATPase, KAP-like	0.05781286694460729	0.8099867970717236	1	PATHOGEN	COG4928	GC_00007553, GC_00008051, GC_00009483, GC_00010524, GC_00011617	0.1852	0.1579	27	19
